,Type,Number of Fatalities,Date,Month,Day,Hour,Time
322,Motorcycle,1,04/17/2017,Apr,Mon,19,19:21
323,Motorcycle,1,04/25/2017,Apr,Tue,16,16:19
324,Motor Vehicle,1,04/29/2017,Apr,Sat,13,13:52
325,Pedestrian,1,04/27/2017,Apr,Thu,6,06:23
326,Motor Vehicle,1,05/01/2017,May,Mon,12,12:02
327,Motor Vehicle,1,05/30/2017,May,Tue,21,21:18
328,Motor Vehicle,1,06/05/2017,Jun,Mon,6,06:15
329,Motor Vehicle,1,06/10/2017,Jun,Sat,22,22:28
330,Pedestrian,1,06/11/2017,Jun,Sun,21,21:18
331,Motor Vehicle,1,07/08/2017,Jul,Sat,0,00:30
332,Motor Vehicle,1,07/13/2017,Jul,Thu,20,20:59
333,Pedestrian,1,07/17/2017,Jul,Thu,22,22:58
334,Motor Vehicle,1,07/27/2017,Jul,Sun,8,08:52
335,Motorcycle,1,08/02/2017,Aug,Wed,21,21:43
336,Pedestrian,1,08/03/2017,Aug,Thu,21,21:25
337,Motor Vehicle,1,08/05/2017,Aug,Sat,23,23:06
338,Motorcycle,1,08/06/2017,Aug,Sun,0,00:33
339,Pedestrian,1,08/07/2017,Aug,Mon,1,01:48
340,Motor Vehicle,1,08/14/2017,Aug,Mon,5,05:32
341,Pedestrian,1,08/23/2017,Aug,Wed,7,07:14
342,Motor Vehicle,1,09/03/2017,Sep,Sun,2,02:22
343,Pedestrian,1,09/04/2017,Sep,Mon,21,21:44
344,Motor Vehicle,1,09/05/2017,Sep,Tue,22,22:18
345,Motor Vehicle,1,08/24/2017,Aug,Thu,20,20:27
346,Pedestrian,1,09/07/2017,Sep,Thu,5,05:49
347,Motor Vehicle,1,09/02/2017,Sep,Sat,14,14:00
348,Motor Vehicle,1,09/25/2017,Sep,Mon,5,05:14
349,Bicycle,1,09/22/2017,Sep,Fri,2,02:28
350,Pedestrian,1,10/10/2017,Oct,Tue,16,16:29
351,Pedestrian,1,10/12/2017,Oct,Thu,10,10:37
352,Pedestrian,1,10/13/2017,Oct,Fri,19,19:36
353,Pedestrian,1,10/16/2017,Oct,Mon,5,05:57
354,Pedestrian,1,10/27/2017,Oct,Sat,21,21:00
355,Motorcycle,1,10/29/2017,Oct,Sun,18,18:13
356,Pedestrian,1,10/31/2017,Oct,Tue,20,20:35
357,Motorcycle,1,11/05/2017,Nov,Sun,2,02:19
358,Motor Vehicle,1,11/05/2017,Nov,Sun,22,22:19
359,Motor Vehicle,3,11/11/2017,Nov,Sat,15,15:32
360,Motor Vehicle,2,11/11/2017,Nov,Sat,22,22:37
361,Pedestrian,1,11/20/2017,Nov,Mon,19,19:44
362,Motor Vehicle,1,11/23/2017,Nov,Thu,22,22:39
363,Pedestrian,1,11/24/2017,Nov,Fri,20,20:01
364,Pedestrian,1,11/24/2017,Nov,Fri,22,22:14
365,Motorcycle,1,12/03/2017,DEC,Sun,1,01:21
366,Pedestrian,1,12/03/2017,DEC,Sun,16,16:25
367,Motorcycle,1,12/04/2017,DEC,Mon,13,13:10
368,Motorcycle,1,12/05/2017,DEC,Tue,0,00:40
369,Motor Vehicle,1,12/07/2017,DEC,Thu,0,00:19
370,Motorcycle,1,12/12/2017,DEC,Tue,14,14:13
371,Motor Vehicle,1,12/21/2017,DEC,Thu,1,01:38
372,MOTOR VEHICLE,2,01/04/2018,Jan,Thu,23,23:25
373,MOTOR VEHICLE,1,01/16/2018,Jan,Tue,17,17:14
374,Motorcycle,1,01/24/2018,Jan,Wed,18,18:31
375,MOTOR VEHICLE,1,01/28/2018,Jan,Sun,5,05:00
376,Pedestrian,1,01/30/2018,Jan,Tue,22,22:49
377,Motorcycle,1,02/09/2018,Feb,Fri,3,03:07
378,Bicycle,1,01/29/2018,Jan,Mon,12,12:18
379,Pedestrian,1,02/06/2018,Feb,Tue,19,19:07
380,Pedestrian,1,02/17/2018,Feb,Sat,20,20:40
381,MOTOR VEHICLE,1,02/23/2018,Feb,Fri,22,22:32
382,Pedestrian,1,02/28/2018,Feb,Wed,6,06:36
383,MOTOR VEHICLE,1,03/13/2018,Mar,Tue,16,16:31
384,Pedestrian,1,03/15/2018,Mar,Thu,20,20:45
385,MOTOR VEHICLE,1,03/23/2018,Mar,Sun,4,04:31
386,Motor Vehicle,1,03/11/2018,Mar,Sun,14,14:38
387,MOTOR VEHICLE,1,04/09/2018,Apr,Mon,1,01:09
388,Pedestrian,1,04/11/2018,Apr,Wed,1,01:15
389,Motorcycle,1,04/12/2018,Apr,Thu,17,17:39
390,MOTOR VEHICLE,1,04/16/2018,Apr,Mon,2,02:24
391,Pedestrian,1,04/21/2018,Apr,Sat,5,05:37
392,MOTOR VEHICLE,1,05/01/2018,May,Tue,2,02:50
393,Pedestrian,1,05/07/2018,May,Mon,2,02:10
394,Pedestrian,1,05/21/2018,May,Mon,4,04:23
395,MOTOR VEHICLE,1,05/26/2018,May,Sat,9,09:42
396,Pedestrian,1,06/07/2018,June,Thu,21,21:19
397,MOTOR VEHICLE,1,06/10/2018,June,Sun,16,16:48
398,Motorcycle,1,06/10/2018,June,Sun,3,03:03
399,Motorcycle,1,06/08/2018,June,Fri,22,22:41
400,Motorcycle,1,06/13/2018,June,Wed,23,23:26
401,MOTOR VEHICLE,1,07/03/2018,July,Tue,11,11:59
402,Motor Vehicle,1,07/09/2018,July,Mon,15,15:43
403,Pedestrian,1,07/13/2018,July,Fri,21,21:05
404,Pedestrian,1,07/23/2018,July,Mon,6,06:29
405,Motorcycle,1,07/23/2018,July,Mon,22,22:20
406,MOTOR VEHICLE,1,07/15/2018,July,Sun,7,07:14
407,Pedestrian,1,07/26/2018,July,Thu,8,08:40
408,Pedestrian,1,07/27/2018,July,Fri,21,21:17
409,Pedestrian,1,07/29/2018,July,Sun,22,22:36
410,Pedestrian,1,08/01/2018,Aug,Wed,7,07:58
411,Motorcycle,1,08/07/2018,Aug,Tues,18,18:52
412,MOTOR VEHICLE,1,08/17/2018,Aug,Fri,0,00:27
413,Motor Vehicle,1,08/21/2018,Aug,Tue,6,06:35
